play_id,season,week,game_date,team,opponent,player_name,position,play_type,yards,touchdown,interception,formation,alignment,play_description,media_link
1,2023,1,2023-09-10,Miami Dolphins,Los Angeles Chargers,Tyreek Hill,WR,Passing,75,1,0,4 WR,Cover 2,"Tyreek Hill caught a 75-yard touchdown pass from Tua Tagovailoa, beating the cornerback down the sideline",https://www.nfl.com/videos/tyreek-hill-75-yard-td
2,2023,1,2023-09-10,Miami Dolphins,Los Angeles Chargers,Tyreek Hill,WR,Passing,42,1,0,Spread,Cover 3,"Tyreek Hill hauled in a 42-yard touchdown on a deep post route",https://www.nfl.com/videos/tyreek-hill-42-yard-td
3,2023,2,2023-09-17,Miami Dolphins,New England Patriots,Tyreek Hill,WR,Passing,28,1,0,3 WR,Man Coverage,"Tyreek Hill scored on a 28-yard slant route, breaking a tackle at the 10-yard line",https://www.nfl.com/videos/tyreek-hill-28-yard-td
4,2023,5,2023-10-08,Kansas City Chiefs,Minnesota Vikings,Travis Kelce,TE,Passing,36,1,0,2 TE,Cover 2,"Travis Kelce caught a 36-yard touchdown pass from Patrick Mahomes over the middle",https://www.nfl.com/videos/kelce-36-yard-td
5,2023,7,2023-10-22,Kansas City Chiefs,Los Angeles Chargers,Travis Kelce,TE,Passing,18,1,0,Tight,Zone Coverage,"Travis Kelce found the soft spot in zone coverage for an 18-yard touchdown",https://www.nfl.com/videos/kelce-18-yard-td
6,2023,3,2023-09-24,Chicago Bears,Kansas City Chiefs,Justin Fields,QB,Rushing,45,1,0,Shotgun,4-3 Defense,"Justin Fields scrambled for a 45-yard rushing touchdown, evading multiple defenders",https://www.nfl.com/videos/fields-45-yard-rush-td
7,2023,5,2023-10-08,Chicago Bears,Washington Commanders,Justin Fields,QB,Rushing,22,1,0,Pistol,Nickel,"Justin Fields kept the ball on a read option and ran 22 yards for a touchdown",https://www.nfl.com/videos/fields-22-yard-rush-td
8,2023,8,2023-10-29,Chicago Bears,Los Angeles Chargers,Justin Fields,QB,Passing,52,1,0,Spread,Cover 1,"Justin Fields launched a 52-yard touchdown bomb to DJ Moore down the sideline",https://www.nfl.com/videos/fields-52-yard-pass-td
9,2023,4,2023-10-01,Dallas Cowboys,New England Patriots,Micah Parsons,LB,Defensive,0,0,0,4-3,Base Defense,"Micah Parsons sacked Mac Jones for a 10-yard loss",https://www.nfl.com/videos/parsons-sack
10,2023,6,2023-10-15,Dallas Cowboys,Los Angeles Chargers,DaRon Bland,CB,Defensive,54,1,0,Nickel,Cover 3,"DaRon Bland intercepted Justin Herbert and returned it 54 yards for a pick-six",https://www.nfl.com/videos/bland-pick-six
11,2023,2,2023-09-17,San Francisco 49ers,Los Angeles Rams,Christian McCaffrey,RB,Rushing,65,1,0,I Formation,4-3 Defense,"Christian McCaffrey broke through the line for a 65-yard rushing touchdown",https://www.nfl.com/videos/cmc-65-yard-rush-td
